51Degrees.mobi-core	3.2.17.2
Sitecore.Xdb.MarketingAutomation.Web.XConnect	9.0.171219
Sitecore.Xdb.Processing.Queue	9.0.171219
Sitecore.Xdb.Processing.Queue.SqlServer	9.0.171219
Sitecore.Xdb.ReferenceData.Client	9.0.171219
Sitecore.Xdb.ReferenceData.Client.Xmgmt	9.0.171219
Sitecore.Xdb.ReferenceData.Core	9.0.171219
Sitecore.Xdb.ReferenceData.Model	9.0.171219
Sitecore.Xdb.ReferenceData.Service	9.0.171219
Sitecore.Xdb.ReferenceData.Service.Xmgmt	9.0.171219
Sitecore.Xdb.ReferenceData.SqlServer	9.0.171219
Sitecore.Xdb.ReferenceData.SqlServer.Xmgmt	9.0.171219
Sitecore.Xdb.ReferenceData.Web	9.0.171219
Sitecore.Xdb.ReferenceData.Web.XConnect	9.0.171219
Sitecore.Xdb.Reporting	9.0.171219
Sitecore.Xdb.Sql.Common	9.0.171219
Sitecore.Xdb.Sql.Common.Xmgmt	9.0.171219
Sitecore.Xdb.Tracking.Client	9.0.171219
Sitecore.Zip	9.0.171219
Sitecore-Marketing-Automation-Service	9.0.171219
Sitecore-XConnect-Index-Service	9.0.171219
Sitecore-XConnect-Server	9.0.171219
StackExchange.Redis.StrongName	1.0.488
System.IdentityModel.Tokens.Jwt	4.0.4.403061554
System.Interactive.Async	3.1.1
System.Interactive.Async.Providers	3.1.1
System.Net.Http	4.0.0
YUICompressor.NET	2.1.1
